ABBREVIATION,TITLE
CANCER GENE THER.,CANCER GENE THERAPY
EMERGING TOP. LIFE SCI.,EMERGING TOPICS IN LIFE SCIENCES
PROC. AM. SOC. AGRON.,PROCEEDINGS OF THE AMERICAN SOCIETY OF AGRONOMY
"PROC. INST. MECH. ENG., PART G: J. AEROSP. ENG.","PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS, PART G: JOURNAL OF AEROSPACE ENGINEERING"
RE:GEN OPEN,RE:GEN OPEN
RUSS. J. NUMER. ANAL. MATH. MODEL.,RUSSIAN JOURNAL OF NUMERICAL ANALYSIS AND MATHEMATICAL MODELLING
2D MATER.,2D MATERIALS
3 BIOTECH,3 BIOTECH
3D PRINT. ADDIT. MANUF.,3D PRINTING AND ADDITIVE MANUFACTURING
3D PRINT. MED.,3D PRINTING IN MEDICINE
A & A,ASTRONOMY AND ASTROPHYSICS
AAPG BULL.,AAPG BULLETIN
AAPG MEM.,AAPG MEMOIR
AAPS J.,AAPS JOURNAL
AAPS OPEN,AAPS OPEN
AATCC J. RES.,AATCC JOURNAL OF RESEARCH
AATCC REV.,AATCC REVIEW
ABB REV.,ABB REVIEW
ABH. AKAD. WISS. DDR,ABHANDLUNGEN DER AKADEMIE DER WISSENSCHAFTEN DER DDR
"ABH. AKAD. WISS. DDR, ABT. MATH., NATURWISS., TECH.","ABHANDLUNGEN DER AKADEMIE DER WISSENSCHAFTEN DER DDR, ABTEILUNG MATHEMATIK, NATURWISSENSCHAFTEN, TECHNIK"
ABH. MATH. SEMIN. UNIV. HAMBURG,ABHANDLUNGEN AUS DEM MATHEMATISCHEN SEMINAR DER UNIVERSIT盲T HAMBURG
ABH. SENCKB. NATURFORSCH. GES.,ABHANDLUNGEN DER SENCKENBERGISCHEN NATURFORSCHENDEN GESELLSCHAFT
ABORIC. J.,ARBORICULTURAL JOURNAL
ACA TRANS.,ACA TRANSACTIONS
ACAD. FORENSIC PATHOL.,ACADEMIC FORENSIC PATHOLOGY
ACAD. RADIOL.,ACADEMIC RADIOLOGY
ACC. CHEM. RES.,ACCOUNTS OF CHEMICAL RESEARCH
ACC. MATER. RES.,ACCOUNTS OF MATERIALS RESEARCH
ACCESS MICROBIOL.,ACCESS MICROBIOLOGY
ACCID. ANAL. PREV.,ACCIDENT ANALYSIS AND PREVENTION
ACCREDIT. QUAL. ASSUR.,ACCREDITATION AND QUALITY ASSURANCE
ACH - MODELS CHEM.,ACH - MODELS IN CHEMISTRY
ACHIEV. LIFE SCI.,ACHIEVEMENTS IN THE LIFE SCIENCES
ACI MATER. J.,ACI MATERIALS JOURNAL
ACI STRUCT. J.,ACI STRUCTURAL JOURNAL
ACM COMPUT. SURV.,ACM COMPUTING SURVEYS
ACM DIGITAL THREATS: RES. PRACT.,ACM DIGITAL THREATS: RESEARCH AND PRACTICE
ACM INROADS,ACM INROADS
ACM J. COMPUT. CULT. HERITAGE,ACM JOURNAL ON COMPUTING AND CULTURAL HERITAGE
ACM J. DATA INF. QUAL.,ACM JOURNAL OF DATA AND INFORMATION QUALITY
ACM J. EMERGING TECHNOL. COMPUT.,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING
ACM J. EMERGING TECHNOL. COMPUT. SYST.,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS
